start_char	end_char	sentence	entity_1	entity_2	answer
143	153	Mr. Rosenblatt said 0 he resigned because of difficulties with commuting between his home in New York and the magazine 's editorial offices in Washington . 	Washington, D.C.	Washington (state)	0
0	14	Richard Secord , the retired Air Force general felled in the Iran - Contra scandal , is all but ruined -- forced to sell his Virginia home and pull his kids out of college , according to a recent fund - raising appeal sent out on his behalf . 	Richard Secord (Alberta politician)	Richard Secord	1
69	74	Let the president demand strict new ethics rules : With four sitting House members accused of sexual misdeeds , amid the unfolding HUD scandal and after the Wright debacle , `` people are slightly dulled by scandal , '' says 0 political humorist Art Buchwald . 	United States House of Representatives	House music	0
171	182	One of the hottest tickets on Washington 's social calendar this fall was a charity benefit honoring former Congressman Tony Coelho , who landed a million - dollar job on Wall Street after resigning over a controversial junk - bond investment last summer . 	Wall Street	Wall Street (1987 film)	0
138	149	Earlier this week , Soviet Foreign Minister Eduard A. Shevardnadze confessed that the U.S.S.R. ignored universal human values by invading Afghanistan and , to put it bluntly , `` engaged in a violation of the ABM Treaty '' by building its radar station at Krasnoyarsk . 	Soviet war in Afghanistan	Afghanistan	1
82	94	Mr. Noriega made plans to fly to Washington for a meeting with his counterpart at the Pentagon . 	Pentagon	The Pentagon	1
159	169	Yet , while the failed coup is a major U.S. foreign policy embarrassment , it is merely the latest chapter in a byzantine relationship between Mr. Noriega and Washington that stretches back three decades . 	Washington, D.C.	Washington (state)	0
0	3	BNL previously reported that its Georgia branch had taken on loan commitments topping $ 3 billion without the Rome - based management 's approval . 	Barenaked Ladies	Banca Nazionale del Lavoro	1
20	26	NUCLEAR REACTOR FOR ISRAEL ? 	Israel national football team	Israel	1
16	24	For one thing , Pentagon officials , who asked not to be identified , worry that the U.S. will have a much tougher time persuading Europeans to keep some short - range nuclear weapons on their soil once Soviet armored forces are thinned out . 	Pentagon	United States Department of Defense	1
123	135	In recent years , for example , Grand Metropolitan PLC of Britain acquired Heublein Inc. , while another British company , Guinness PLC , took over United Distillers Group and Schenley Industries Inc . 	Guinness	Diageo	0
8	15	Ads for England are artsy and irreverent . 	England	United Kingdom	0
151	159	But individuals familiar with the generally successful Drexel talks say 0 the firm is meeting resistance from some big states , including New Jersey , New York , California , Pennsylvania , Connecticut and Missouri . 	New York City	New York	1
99	109	Your Sept. 26 `` Politics -AMP- Policy '' article about William Bennett 's Emergency Drug Plan for Washington gives the impression that the FBI has not been nor is actively involved . 	Washington, D.C.	Washington (state)	0
31	41	Only two states -- Vermont and Washington -- this year joined five others requiring private employers to grant leaves of absence to employees with newborn or adopted infants . 	Washington, D.C.	Washington (state)	1
14	22	In response , Treasury prices soared 1 1/8 points , or about $ 11.25 for each $ 1,000 face amount . 	Treasury	United States Department of the Treasury	1
42	49	One participant prematurely declared that America has had a free market in goods but a planned economy for environmental protection , while Poland represents the opposite . 	United States	Americas	0
225	232	`` I am convinced that a monetary policy for this country that would return interest rates to the historical level of 4 % or 5 % would have not only an immediate impact on housing starts , the housing stock , our industry in America , the refurbishing of our industrial system , it would help the Third World economies considerably and it would particularly have a favorable impact upon our budget deficit , '' Mr. Kemp said . 	United States	Thirteen Colonies	0
51	54	Woolworth said 0 it expects to expand usage of the MCI services as it adds about 6,000 business locations over the next few years . 	Music Center Incorporated	MCI Inc.	1
138	153	The letter to Mr. Bush was signed by Reps. Bruce Vento -LRB- D. , Minn. -RRB- , the chairman of the Banking Committee 's RTC Task Force , Thomas McMillen -LRB- D. , Md. -RRB- , Kweisi Mfume -LRB- D. , Md . -RRB- and Paul Kanjorski -LRB- D. , Pa . -RRB- . 	Thomas Haden Church	Charles Thomas McMillen	1
